time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
0.36000000,-6.69469999,-5.09788776,1.67792034,0.69168009,0.50312137,-0.13546441,0.01018987,-0.00620902,0.00152095,-0.67452891,0.23257166,-0.12239296,0.68988487,4.22037036,3.33247967,0.05911891,11,0.00000000
0.43000000,-6.63184030,-5.06171095,1.66857431,1.00250915,0.50016539,-0.15582445,0.01018987,-0.00620902,0.00152095,-0.66702951,0.04376096,-0.09134449,0.73811435,4.56550440,3.68552515,-1.03980020,11,0.00000000
0.49000000,-6.56913193,-5.03563924,1.65752331,1.05097030,0.37112070,-0.19296793,0.01018987,-0.00620902,0.00152095,-0.62131889,-0.12675050,-0.07115549,0.76995717,4.22997949,3.79006378,-1.52600152,11,0.00000000
0.56000000,-6.50160740,-5.01999270,1.64425278,0.86072671,0.10001401,-0.18701541,0.01018987,-0.00620902,0.00152095,-0.54373604,-0.28496408,-0.04447629,0.78814241,3.27761449,2.32716563,-1.58085905,11,0.00000000
0.63000000,-6.45651594,-5.02510086,1.62951005,0.46299697,-0.19912964,-0.24093478,0.01018987,-0.00620902,0.00152095,-0.47483206,-0.35890792,-0.01416948,0.80344188,1.74690768,0.20596934,-1.29480330,11,0.00000000
0.69000000,-6.44242891,-5.04486673,1.61170639,0.07117986,-0.41593125,-0.34041270,0.01018987,-0.00620902,0.00152095,-0.43616564,-0.35896832,0.00694100,0.82513823,0.54023969,-1.19989969,-0.99063570,11,0.00000000
0.76000000,-6.45475296,-5.08190149,1.58294351,-0.35231620,-0.60417207,-0.45946169,0.01018987,-0.00620902,0.00152095,-0.41320260,-0.30249341,0.02185088,0.85865237,-0.53167175,-2.29907478,-0.64120836,11,0.00000000
0.83000000,-6.49351051,-5.12942863,1.54770758,-0.68969488,-0.72585441,-0.52618172,0.01018987,-0.00620902,0.00152095,-0.40428546,-0.20928974,0.02709431,0.88995335,-1.10080273,-2.78457286,-0.36896944,11,0.00000000
0.89000000,-6.54219547,-5.17506244,1.51586703,-0.88523366,-0.77879653,-0.52706032,0.01018987,-0.00620902,0.00152095,-0.40062617,-0.11960814,0.02690643,0.90800254,-1.22985427,-2.76277034,-0.21241299,11,0.00000000
0.96000000,-6.60913695,-5.23010209,1.48074966,-0.99073198,-0.78363485,-0.47711760,0.02595518,-0.01572210,0.00388137,-0.39663301,-0.02325065,0.02460546,0.91735284,-1.05773094,-2.25458215,-0.10081016,15,0.00000000
1.03000000,-6.67850291,-5.28342104,1.44979995,-0.97634037,-0.73987564,-0.41885041,0.05903229,-0.03548059,0.00884939,-0.39324590,0.04779557,0.02085357,0.91795336,-0.76985311,-1.41612213,-0.00203884,20,0.00000000
1.09000000,-6.73461587,-5.32582238,1.42584844,-0.90006506,-0.68156409,-0.38822293,0.09698604,-0.05790962,0.01456876,-0.39306402,0.08186362,0.01537410,0.91573067,-0.49186706,-0.60576727,0.10546446,24,0.00000000
1.15000000,-6.78508192,-5.36453175,1.40312417,-0.79706575,-0.61945201,-0.37365528,0.14516493,-0.08607911,0.02185253,-0.39681067,0.09278512,0.00801131,0.91316375,-0.26552859,0.00442097,0.22322516,28,0.00000000
1.23000000,-6.84243902,-5.41076369,1.37358442,-0.65665862,-0.54886652,-0.36708312,0.21896340,-0.12865552,0.03305413,-0.40771653,0.08122437,-0.00332768,0.90948269,-0.02180524,0.58183000,0.37688437,33,0.00000000
