time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.00000000,-6.54033517,-5.05062986,1.66932408,-0.55831449,-0.54730394,-0.38625396,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.62251488,-0.39749416,0.05960083,0.67150678,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,-6.54033517,-5.05062986,1.66932408,-0.55831449,-0.54730394,-0.38625396,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.70703477,0.00000000,0.00000000,0.70717879,0.00006119,-0.00003776,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,-6.55150146,-5.06157594,1.66159900,-0.55831443,-0.54730397,-0.38625395,0.00001201,-0.00000741,0.00000178,0.00179015,-0.00110388,0.00026618,0.17686553,-0.10896590,0.02630598,0.70703477,0.00000070,0.00000017,0.70717879,0.00024038,-0.00014817,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.04000000,-6.56266774,-5.07252202,1.65387392,-0.55831354,-0.54730452,-0.38625382,0.00009434,-0.00005812,0.00001403,0.00699024,-0.00430287,0.00103998,0.34107399,-0.20956588,0.05077368,0.70703477,0.00000549,0.00000130,0.70717879,0.00076617,-0.00047158,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.06000000,-6.57383398,-5.08346813,1.64614885,-0.55830975,-0.54730686,-0.38625326,0.00031269,-0.00019239,0.00004653,0.01535185,-0.00943292,0.00228532,0.49309404,-0.30212602,0.07346988,0.70703477,0.00001820,0.00000433,0.70717879,0.00161434,-0.00099200,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.08000000,-6.58500009,-5.09441432,1.63842380,-0.55829972,-0.54731302,-0.38625177,0.00072789,-0.00044726,0.00010836,0.02663580,-0.01633643,0.00396741,0.63338335,-0.38696447,0.09445986,0.70703477,0.00004235,0.00001011,0.70717879,0.00276049,-0.00169336,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.10000000,-6.59616590,-5.10536070,1.63069879,-0.55827895,-0.54732578,-0.38624867,0.00139607,-0.00085666,0.00020791,0.04061196,-0.02486209,0.00605276,0.76238879,-0.46439151,0.11380733,0.70703477,0.00008119,0.00001943,0.70717878,0.00418111,-0.00256018,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.12000000,-6.60733114,-5.11630742,1.62297387,-0.55824184,-0.54734853,-0.38624315,0.00236884,-0.00145159,0.00035294,0.05705904,-0.03486470,0.00850916,0.88054657,-0.53470974,0.13157455,0.70703476,0.00013769,0.00003304,0.70717878,0.00585360,-0.00357764,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.14000000,-6.61849542,-5.12725473,1.61524909,-0.55818184,-0.54738527,-0.38623420,0.00369348,-0.00226017,0.00055055,0.07576435,-0.04620505,0.01130561,0.98828241,-0.59821416,0.14782229,0.70703475,0.00021456,0.00005163,0.70717877,0.00775618,-0.00473147,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.16000000,-6.62965821,-5.13820295,1.60752453,-0.55809147,-0.54744053,-0.38622073,0.00541311,-0.00330782,0.00080723,0.09652363,-0.05874976,0.01441232,1.08601171,-0.65519230,0.16260986,0.70703473,0.00031428,0.00007584,0.70717875,0.00986795,-0.00600803,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
